GrLivArea,SalePrice
1710,208500
1262,181500
1786,223500
1717,140000
2198,250000
1362,143000
1694,307000
2090,200000
1774,129900
1077,118000
1040,129500
2324,345000
912,144000
1494,279500
1253,157000
854,132000
1004,149000
1296,90000
1114,159000
1339,139000
2376,325300
1108,139400
1795,230000
1060,129900
1600,256300
900,134800
1704,306000
520,68500
1317,40000
1228,149350
1234,179900
1700,165500
1561,277500
2452,309000
1097,145000
1297,153000
1057,109000
1152,82000
1324,160000
1328,170000
884,144000
938,130250
1150,141000
1752,319900
2149,239686
1656,249700
1452,113000
955,127000
1470,177000
1176,114500
816,110000
1842,385000
1360,130000
1425,180500
1739,172500
1720,196500
2945,438780
780,124900
1158,158000
1111,101000
1370,202500
2034,219500
2473,317000
2207,180000
1479,226000
747,80000
2287,225000
2223,244000
845,129500
1718,185000
1086,144900
1605,107400
988,91000
952,135750
1285,127000
1768,136500
1230,110000
2142,193500
1337,153500
1563,245000
1065,126500
1474,168500
2417,260000
1560,174000
1224,164500
1526,85000
990,123600
1235,98600
964,163500
2291,133900
1588,214000
960,94750
835,83000
1225,128950
1610,205000
1732,178000
1535,118964
1226,198900
1818,169500
1992,250000
1047,100000
789,115000
1517,115000
1844,190000
1855,136900
1430,180000
2696,383970
2259,217000
2320,259500
1458,176000
1092,139000
1125,155000
3222,320000
1456,163990
1123,100000
1080,136000
1199,153900
1586,181000
754,84500
958,128000
840,87000
1348,155000
1053,150000
2157,226000
2054,244000
1327,150750
1721,180000
1682,174000
1214,143000
1959,171000
1852,230000
1764,231500
864,115000
1734,260000
1385,166000
1501,204000
1728,125000
1709,130000
875,105000
2035,222500
1344,115000
969,122000
1993,190000
1252,235000
1200,125000
1096,79000
1968,269500
1947,254900
2462,320000
1232,162500
2668,412500
1541,220000
882,103200
1616,152000
1355,127500
1867,190000
2161,325624
1707,228000
1382,128500
1767,239000
1651,184000
2158,243000
2060,211000
1920,172500
2234,501837
968,100000
1525,177000
1802,200100
1340,120000
2082,200000
3608,475000
1217,173000
1593,286000
2727,315000
1431,192000
1726,311872
3112,235000
2229,104000
1713,274900
1121,140000
1279,171500
1310,112000
848,149000
1284,110000
1442,180500
1696,143900
1100,141000
2062,277000
1212,186000
1392,161750
1236,134450
1436,210000
1954,311500
1248,167240
1498,204900
2267,200000
1552,179900
2392,386250
1302,112000
2520,290000
987,106000
1555,192500
1194,148000
2794,403000
894,128200
1960,216500
1414,185500
1744,194500
1487,113000
1566,262500
866,110500
1440,79000
2110,205000
1872,241500
1928,137000
1375,140000
1668,180000
2144,277000
1306,76500
1625,235000
1640,173000
1314,145000
1604,220000
1792,231500
2574,276000
1316,130000
764,73000
1422,175500
1511,185000
2192,179500
778,120500
1113,148000
1939,266000
1363,241500
2270,290000
1632,139000
1548,205000
2121,415298
2022,192000
1982,228500
1468,244600
1575,179200
1250,164700
858,88000
1396,153575
1919,233230
1716,135900
2263,235000
1644,167000
1003,142500
1558,152000
1950,239000
1743,175000
1336,157000
3493,295000
2000,305900
2243,225000
1406,89500
861,82500
1944,360000
972,132000
1118,119900
2036,375000
1641,178000
1432,188500
2353,260000
2646,260000
1472,187500
2596,342643
2468,354000
2730,301000
1163,126175
2978,242000
803,87000
1719,324000
1383,145250
2134,214500
1192,78000
1056,139000
1629,284000
1358,207000
1638,192000
1922,377426
1536,214000
1621,202500
1215,155000
1908,202900
841,82000
1684,266000
1112,85000
1577,140200
