GrLivArea,SalePrice
1710,223500
2198,307000
1774,345000
912,279500
1004,159000
2376,325300
1060,306000
1600,207500
1234,309000
1097,153000
1324,170000
1150,319900
1452,177000
816,385000
1739,438780
1158,202500
2034,317000
747,244000
1718,185000
952,136500
2142,245000
1474,260000
1526,123600
964,204750
1588,214000
1610,205000
1818,250000
1517,190000
2696,383970
1092,320000
988,180000
1586,181000
1348,244000
1327,220000
1214,231500
864,260000
1728,222500
1080,372402
1993,235000
1040,320000
1232,412500
1616,325624
1720,228000
1767,243000
2060,501837
1525,200100
1252,475000
1224,315000
1431,192000
1726,311872
1121,171500
1284,180500
2062,277000
1852,252678
1436,311500
1498,204900
2392,386250
912,403000
987,216500
1414,318000
1566,262500
2110,241500
1668,277000
1640,230000
1728,231500
1382,276000
764,185000
778,266000
2270,290000
1560,415298
1982,244600
1575,179200
900,233230
1716,235000
1558,239000
1336,267000
3493,305900
861,360000
1118,375000
2353,270000
2596,354000
2978,324000
2134,214500
1629,284000
1922,377426
1908,266000
1112,157500
1626,437154
1111,177500
1167,280000
912,198500
1574,190000
1268,172400
752,219500
914,394432
1691,213500
1953,240000
1479,426000
882,129000
894,241000
1288,258000
1572,177000
2172,339750
1478,228000
1400,239000
1344,315000
1196,275000
1208,195400
1365,212000
1118,119000
2402,555000
1908,210000
1376,280000
1756,210000
1344,256000
1935,263435
1040,178740
1634,250000
1072,440000
1493,380000
1850,374000
999,175000
2414,160000
1456,172785
3228,430000
1218,289000
1322,215000
1378,202665
864,402861
2119,265000
1294,184750
2398,446261
605,200624
827,178000
1724,272000
1838,315000
1496,229000
825,263000
1717,284000
1092,234000
1392,185000
2295,325000
2132,316600
1692,224500
1477,164500
1429,325000
1573,369900
1473,451950
816,319000
1368,217500
1904,275000
1494,225000
3194,359100
1872,261500
1509,314813
864,240000
1790,165150
2080,209500
1411,200000
800,264561
1518,345000
1766,370878
1839,205950
1716,350000
1053,167000
1935,402000
2097,423000
1437,173500
1208,257500
1774,372500
923,285000
1839,227875
1419,755000
2519,335000
616,196000
1800,361919
1484,302000
1456,179540
1228,189000
2554,341000
1742,275000
1698,320000
1776,236500
2031,222500
1040,239900
1432,179000
1337,299800
1720,260400
1494,275500
1768,290000
864,337000
1494,270000
1836,538000
1117,395000
1614,221500
1253,187100
1484,233000
901,187500
2013,269790
1285,485000
1688,582933
1128,227680
1086,181000
1044,224900
1008,271000
1640,225000
1489,385000
2126,185000
1829,237000
1559,153500
1482,174900
1416,213000
2358,240000
1646,170000
1026,250000
1426,189950
1372,250580
2320,236000
910,303477
1040,350000
1090,187500
892,328900
2217,268000
1068,165000
951,611657
858,240000
902,255000
902,174000
1015,173733
480,238000
1721,201000
1686,285000
1788,236500
1905,320000
1200,253000
1728,214000
1344,270000
1776,197500
768,172000
1229,185000
858,272000
1894,214900
968,173000
918,182000
869,199900
999,336000
1734,395192
2030,348000
1851,337500
1050,206000
944,232000
1504,181000
1710,240000
1502,227000
1504,213490
1132,194000
2898,293077
1376,197000
2520,310000
1620,315500
1803,262280
2524,556581
1771,200141
1977,255000
1364,335000
1338,213500
1154,328000
2521,154000
1456,219500
1466,170000
1258,192000
1498,252000
1709,197000
1694,176432
1355,170000
438,159500
1302,325000
1690,280000
816,318000
1419,184100
1012,212900
1482,259000
1959,215000
2210,239500
1252,196000
952,424870
924,180000
1111,149900
1811,230000
1265,235128
1456,224000
1432,245350
2108,625000
1250,285000
923,154900
2514,745000
1572,262000
1660,195000
1472,176000
1863,219210
864,213000
1074,271900
1283,290000
672,145000
1902,229456
912,143000
1490,214000
1702,367294
1224,142000
1626,265900
1768,465000
1517,230000
2058,244000
874,294000
1987,301500
1675,181000
1337,378500
3447,381000
935,177000
1395,237000
1573,227000
2447,190000
1659,281000
2372,162900
1128,160000
1983,290000
1708,325000
1122,335000
2810,333168
1630,295493
1478,190000
1795,147000
2792,256000
816,167900
1656,200000
872,228500
1456,283463
1494,215000
1176,410000
892,315000
2601,260000
1200,216000
848,232000
2097,466500
790,167500
864,237500
1258,250000
1746,377500
900,281213
1687,160000
1158,282922
1214,275000
1363,230000
1040,257000
2290,340000
1416,274970
1344,271000
804,192140
968,186500
864,394617
2555,310000
1422,240000
1346,287090
1072,185000
2073,266500
