"GrLivArea","SalePrice"
"1710","208500"
"1786","223500"
"2198","250000"
"1694","307000"
"1774","129900"
"1040","345000"
"912","279500"
"1253","157000"
"1004","149000"
"1114","159000"
"2376","325300"
"1795","230000"
"1060","256300"
"900","306000"
"1600","207500"
"1317","149350"
"1234","179900"
"1561","309000"
"1097","153000"
"1057","109000"
"1324","170000"
"884","144000"
"1150","319900"
"2149","249700"
"1452","127000"
"1470","177000"
"816","385000"
"1360","180500"
"1739","196500"
"2945","438780"
"1158","158000"
"1370","202500"
"2034","317000"
"2207","226000"
"747","225000"
"2223","244000"
"1718","185000"
"1605","107400"
"952","135750"
"1768","136500"
"2142","193500"
"1563","245000"
"1474","260000"
"1560","174000"
"1526","123600"
"1040","109900"
"964","163500"
"1786","204750"
"1588","214000"
"835","128950"
"1610","205000"
"1535","198900"
"1818","250000"
"1047","115000"
"1517","190000"
"1855","180000"
"2696","383970"
"2320","259500"
"1092","155000"
"3222","320000"
"988","180000"
"1080","153900"
"1586","181000"
"958","128000"
"1348","155000"
"2157","244000"
"1327","220000"
"1721","180000"
"1214","171000"
"1852","231500"
"864","260000"
"1385","204000"
"1728","130000"
"875","222500"
"1080","141000"
"969","372402"
"1993","235000"
"1200","125000"
"1040","269500"
"1947","320000"
"1232","412500"
"1541","220000"
"1616","152000"
"1867","325624"
"1720","228000"
"1382","215000"
"1767","239000"
"1651","243000"
"2060","211000"
"2234","501837"
"1525","200100"
"1340","200000"
"1252","475000"
"1217","173000"
"1224","286000"
"2727","315000"
"1431","192000"
"864","148500"
"1726","311872"
"2229","274900"
"1121","171500"
"1310","149000"
"1284","180500"
"1696","143900"
"2062","277000"
"864","186000"
"1852","252678"
"1392","161750"
"1436","210000"
"1954","311500"
"1498","204900"
"1552","179900"
"2392","386250"
"2520","290000"
"912","192500"
"1194","403000"
"987","128200"
"1960","216500"
"1414","194500"
"1694","318000"
"1566","262500"
"1440","120000"
"2110","241500"
"1928","140000"
"1668","277000"
"1306","235000"
"1640","173000"
"1314","230000"
"1728","220000"
"1792","231500"
"1382","276000"
"1212","151000"
"764","175500"
"1511","185000"
"778","148000"
"1939","266000"
"2270","290000"
"816","205000"
"1560","201000"
"2121","415298"
"1982","228500"
"1314","244600"
"1575","179200"
"1734","159000"
"900","153575"
"1919","233230"
"1716","235000"
"1644","167000"
"1558","239000"
"1743","175000"
"1336","267000"
"1541","205000"
"3493","305900"
"2243","225000"
"861","360000"
"1501","165600"
"1118","375000"
"1641","188500"
"2353","270000"
"2646","260000"
"2596","354000"
"2730","301000"
"2978","242000"
"1719","324000"
"2134","214500"
"1728","139000"
"1629","284000"
"1638","228950"
"1922","377426"
"1621","202500"
"1908","202900"
"1040","266000"
"1112","140200"
"958","157500"
"1626","437154"
"1869","318061"
"1111","105900"
"1595","177500"
"1167","173000"
"1352","280000"
"912","156000"
"1922","198500"
"1574","190000"
"1394","165000"
"1268","162000"
"1664","172400"
"752","125000"
"1928","219500"
"914","340000"
"1856","394432"
"1691","187750"
"1797","213500"
"1953","240000"
"1184","125000"
"1479","426000"
"1367","215000"
"882","106500"
"1034","129000"
"894","169500"
"1077","241000"
"1288","245500"
"672","258000"
"1572","168000"
"1639","177000"
"2172","339750"
"1276","145000"
"1478","222000"
"2097","228000"
"1400","239000"
"1134","142000"
"1344","215000"
"988","315000"
"1196","139000"
"1644","275000"
"1208","195400"
"987","85400"
"1365","181000"
"630","212000"
"1118","119000"
"694","110000"
"2402","555000"
"1573","172500"
"1908","210000"
"1888","199900"
"1376","120000"
"813","280000"
"1756","210000"
"1728","188000"
"1344","256000"
"1666","161000"
"1935","263435"
"864","188700"
"1040","178740"
"1277","167000"
"1634","250000"
"1502","212000"
"1072","440000"
"1652","251000"
"1493","380000"
"1718","297000"
"1850","374000"
"1826","164000"
"999","147000"
"1073","175000"
"2414","160000"
"1304","133000"
"1456","172785"
"886","91300"
"3228","430000"
"899","130000"
"1218","226700"
"1214","289000"
"1322","147000"
"1911","215000"
"1378","161000"
"1363","202665"
"864","134000"
"789","402861"
"2119","265000"
"1796","234000"
"1294","150000"
"1664","184750"
"2398","315750"
"928","446261"
"605","200624"
"1509","175000"
"827","107500"
"1414","178000"
"1724","188000"
"1159","272000"
"1838","315000"
"1680","213250"
"1496","229000"
"1635","210000"
"825","263000"
"1069","140000"
"1717","255500"
"2046","284000"
"1092","141000"
"1446","234000"
"1392","170000"
