"date","value"
"2013/5/1","139.89"
"2013/5/3","108.13"
"2013/5/10","122"
"2013/5/11","118.68"
"2013/5/15","115.81"
"2013/5/17","125.3"
"2013/5/21","123"
"2013/5/22","124"
"2013/5/26","136"
"2013/5/31","129.9"
"2013/6/1","129.78"
"2013/6/9","108.99"
"2013/6/10","110.1"
"2013/6/11","109.6"
"2013/6/16","101.6"
"2013/6/20","114.3"
"2013/6/21","114.99"
"2013/6/28","101.74"
"2013/6/29","99.99"
"2013/6/30","98.12"
"2013/7/1","97.66"
"2013/7/7","74.56"
"2013/7/10","87"
"2013/7/11","90.28"
"2013/7/15","101.9"
"2013/7/17","99.97"
"2013/7/20","93.1"
"2013/7/21","91.95"
"2013/7/26","97.47"
"2013/7/28","100.58"
"2013/7/30","107.99"
"2013/7/31","111.34"
"2013/8/9","105.75"
"2013/8/10","103.9"
"2013/8/19","123.06"
"2013/8/20","123.01"
"2013/8/24","121.39"
"2013/8/28","127.32"
"2013/8/29","123.7"
"2013/8/30","135.75"
"2013/9/2","146.5"
"2013/9/8","124.72"
"2013/9/9","129.06"
"2013/9/11","137.83"
"2013/9/18","133.2"
"2013/9/19","131.77"
"2013/9/24","127.46"
"2013/9/28","135.63"
"2013/9/29","140.61"
"2013/10/3","123.63"
"2013/10/8","127.47"
"2013/10/9","131.75"
"2013/10/10","131.5"
"2013/10/18","155.96"
"2013/10/19","177.48"
"2013/10/20","174.91"
"2013/10/24","217.42"
"2013/10/28","198.62"
"2013/10/29","204.79"
"2013/11/7","304.17"
"2013/11/8","338.66"
"2013/11/17","500.58"
"2013/11/18","703.78"
"2013/11/26","928.54"
"2013/11/27","1001.96"
"2013/11/28","1077.56"
"2013/12/6","1042.38"
"2013/12/7","854.64"
"2013/12/8","802.51"
"2013/12/10","997.23"
"2013/12/11","1001.58"
"2013/12/17","754.83"
"2013/12/18","679.32"
"2013/12/21","654.27"
"2013/12/26","777.75"
"2013/12/27","777.51"
"2013/12/28","747.06"
"2014/1/5","952.4"
"2014/1/6","1017.12"
"2014/1/7","965.74"
"2014/1/14","855.69"
"2014/1/16","866.16"
"2014/1/17","842.91"
"2014/1/24","822.43"
"2014/1/26","897.02"
"2014/1/27","893"
"2014/2/3","826.48"
"2014/2/5","837.32"
"2014/2/6","819.81"
"2014/2/13","657.99"
"2014/2/15","661.84"
"2014/2/16","665.1"
"2014/2/25","541.38"
"2014/2/26","603.8"
"2014/3/2","570.48"
"2014/3/3","702.91"
"2014/3/7","665.34"
"2014/3/8","635.14"
"2014/3/12","648.03"
"2014/3/17","632.68"
"2014/3/18","622.39"
"2014/3/23","570.24"
"2014/3/27","580.56"
"2014/3/28","526.02"
"2014/4/3","449.56"
"2014/4/6","466.32"
"2014/4/7","462.56"
"2014/4/13","427.4"
"2014/4/16","542.38"
"2014/4/17","533.52"
"2014/4/26","464.54"
"2014/4/27","459.33"
"2014/5/1","460.61"
"2014/5/4","439.77"
"2014/5/6","448.04"
"2014/5/7","446.13"
"2014/5/10","455.77"
"2014/5/13","441.98"
"2014/5/16","450.66"
"2014/5/17","451.98"
"2014/5/19","447.56"
"2014/5/26","588.39"
"2014/5/27","589.52"
"2014/5/29","577.1"
"2014/6/3","674.11"
"2014/6/5","663.53"
"2014/6/6","661.37"
"2014/6/15","592.94"
"2014/6/16","608.72"
"2014/6/18","615.88"
"2014/6/25","583.6"
"2014/6/26","581.63"
"2014/7/1","657.86"
"2014/7/5","633.22"
"2014/7/6","638.65"
"2014/7/15","625.14"
"2014/7/16","623.09"
"2014/7/18","629.21"
"2014/7/25","607.07"
"2014/7/26","602.09"
"2014/7/30","585.12"
"2014/8/4","591.95"
"2014/8/5","589.87"
"2014/8/8","598.12"
"2014/8/14","546.24"
"2014/8/15","518.18"
"2014/8/19","485.71"
"2014/8/21","531.9"
"2014/8/24","512.89"
"2014/8/25","508.22"
"2014/8/27","520.71"
"2014/9/3","481.71"
"2014/9/4","493.93"
"2014/9/9","477.38"
"2014/9/13","482.12"
"2014/9/14","479.85"
"2014/9/22","406.92"
"2014/9/23","441.56"
"2014/9/24","436.11"
"2014/10/3","377.69"
"2014/10/4","364.49"
"2014/10/7","339.25"
"2014/10/13","397.23"
"2014/10/14","411.7"
"2014/10/23","385.05"
"2014/10/24","364.35"
"2014/11/2","329.05"
"2014/11/3","334"
"2014/11/4","331.77"
"2014/11/12","429.72"
"2014/11/13","457.09"
"2014/11/21","357.88"
"2014/11/22","364.84"
"2014/11/23","370.85"
"2014/11/25","394.7"
"2014/12/2","384.04"
"2014/12/3","383.03"
"2014/12/10","352.38"
"2014/12/12","352.98"
"2014/12/13","352.38"
"2014/12/14","353.32"
"2014/12/19","318.53"
"2014/12/22","334.12"
"2014/12/23","336.29"
"2014/12/30","314.81"
"2015/1/1","320.44"
"2015/1/2","315.84"
"2015/1/5","278.34"
"2015/1/11","279.64"
"2015/1/12","272.2"
"2015/1/17","211.73"
"2015/1/21","227.79"
"2015/1/22","237.02"
"2015/1/26","309.38"
"2015/1/31","233.5"
"2015/2/1","231.57"
"2015/2/3","245.96"
"2015/2/10","221.81"
"2015/2/11","223.41"
"2015/2/12","222.2"
"2015/2/15","265.61"
"2015/2/20","247.1"
"2015/2/21","255.32"
"2015/2/26","237.71"
"2015/3/2","276.3"
"2015/3/3","285.8"
"2015/3/6","277.61"
"2015/3/10","300.04"
"2015/3/12","297.09"
"2015/3/13","294.5"
"2015/3/21","262.2"
"2015/3/22","269.75"
"2015/3/23","277.3"
"2015/4/1","247.54"
"2015/4/2","254.46"
"2015/4/6","261.8"
"2015/4/11","239.54"
"2015/4/12","237.73"
"2015/4/15","223.83"
"2015/4/21","235.27"
"2015/4/22","237.91"
"2015/4/26","226.94"
"2015/4/30","239.56"
"2015/5/1","238.97"
"2015/5/2","235.73"
"2015/5/9","247.8"
"2015/5/11","244.27"
"2015/5/12","242.88"
"2015/5/13","243.7"
"2015/5/19","234.15"
"2015/5/21","236.24"
"2015/5/22","240.97"
"2015/5/24","241.98"
"2015/5/31","233.25"
"2015/6/1","231.71"
"2015/6/6","225.72"
"2015/6/10","229.78"
"2015/6/11","230.29"
"2015/6/17","256.85"
"2015/6/20","245.83"
"2015/6/21","245.22"
"2015/6/25","243.33"
"2015/6/30","267.87"
"2015/7/1","265.17"
"2015/7/3","257.08"
"2015/7/10","294.59"
"2015/7/11","298.51"
"2015/7/12","314.39"
"2015/7/19","275.67"
"2015/7/20","278.98"
"2015/7/21","280.55"
"2015/7/22","277.67"
"2015/7/27","297.77"
"2015/7/30","290.13"
"2015/7/31","288.96"
"2015/8/9","267"
"2015/8/10","267.03"
"2015/8/12","270.67"
"2015/8/19","237.41"
"2015/8/20","237.37"
"2015/8/25","226.32"
"2015/8/29","233.22"
"2015/8/30","232.07"
"2015/9/3","229.6"
"2015/9/8","245.78"
"2015/9/9","244.42"
"2015/9/15","259.18"
"2015/9/17","230.28"
"2015/9/18","234.35"
"2015/9/19","233.21"
"2015/9/21","231.22"
"2015/9/28","239.34"
"2015/9/29","239.8"
"2015/9/30","237.73"
"2015/10/6","246.94"
"2015/10/8","244.25"
"2015/10/9","244.23"
"2015/10/17","273.58"
"2015/10/18","271.67"
"2015/10/19","264.82"
"2015/10/28","306.33"
"2015/10/29","318.17"
"2015/11/4","495.56"
"2015/11/7","390.59"
"2015/11/8","389.89"
"2015/11/16","331.63"
"2015/11/17","338.35"
"2015/11/18","336.53"
"2015/11/24","323.06"
"2015/11/26","366.76"
"2015/11/27","363.59"
"2015/11/28","359.54"
"2015/12/6","402.81"
"2015/12/7","399.97"
"2015/12/8","415.56"
"2015/12/12","469.1"
"2015/12/17","457.86"
"2015/12/18","465.18"
"2015/12/19","465.58"
"2015/12/27","424.01"
"2015/12/28","429.77"
"2016/1/1","436.25"
"2016/1/6","431.86"
"2016/1/7","458.77"
"2016/1/8","462.93"
"2016/1/16","390.56"
"2016/1/17","390.96"
"2016/1/19","387.73"
"2016/1/20","425.27"
"2016/1/26","397.77"
"2016/1/27","396.84"
"2016/2/3","374.95"
"2016/2/5","391.09"
"2016/2/6","386.63"
"2016/2/9","377.25"
"2016/2/15","410.38"
"2016/2/16","408.94"
"2016/2/21","448.05"
"2016/2/25","427.72"
"2016/2/26","432.15"
"2016/2/29","441.51"
"2016/3/5","411.26"
"2016/3/6","411.91"
"2016/3/7","415.92"
"2016/3/11","423.93"
"2016/3/16","417.69"
"2016/3/17","421"
"2016/3/19","410.98"
"2016/3/26","418.99"
"2016/3/27","428.8"
"2016/3/30","416.83"
"2016/4/5","424.26"
"2016/4/6","424.53"
"2016/4/9","420.89"
"2016/4/15","429.93"
"2016/4/16","432.63"
"2016/4/18","429.27"
"2016/4/25","466.62"
"2016/4/26","467.96"
"2016/5/5","448.51"
"2016/5/6","461.38"
"2016/5/9","462.48"
"2016/5/11","454.58"
"2016/5/15","458.69"
"2016/5/16","458.2"
"2016/5/22","443.43"
"2016/5/25","450.3"
"2016/5/26","453.64"
"2016/6/4","590.13"
"2016/6/5","582.81"
"2016/6/10","579.13"
"2016/6/13","716"
"2016/6/14","704.5"
"2016/6/15","696.3"
"2016/6/18","777.99"
"2016/6/23","629.33"
"2016/6/24","681.73"
"2016/6/25","691.73"
"2016/6/29","644.68"
"2016/7/3","704.97"
"2016/7/4","683.66"
"2016/7/5","683.49"
"2016/7/10","652.29"
"2016/7/14","662.9"
"2016/7/15","667.08"
"2016/7/17","682.37"
"2016/7/23","656.37"
"2016/7/24","663.11"
"2016/7/25","661.83"
"2016/8/3","573.36"
"2016/8/4","579.5"
"2016/8/5","578.28"
"2016/8/10","599.98"
"2016/8/13","589.77"
"2016/8/14","585.67"
"2016/8/15","573.58"
"2016/8/23","589.47"
"2016/8/24","583.59"
"2016/8/28","574.04"
"2016/9/2","575.64"
"2016/9/3","599.5"
"2016/9/11","628.82"
"2016/9/12","608.46"
"2016/9/13","611.19"
"2016/9/14","611.95"
"2016/9/22","598.49"
"2016/9/23","603.21"
"2016/10/1","615.24"
"2016/10/2","614"
"2016/10/3","612.57"
"2016/10/4","612.05"
"2016/10/11","642.08"
"2016/10/12","641.34"
"2016/10/13","638.83"
"2016/10/20","631.92"
"2016/10/22","658.2"
"2016/10/23","661.13"
"2016/10/24","657.25"
"2016/11/1","736.45"
"2016/11/2","740.83"
"2016/11/3","745.77"
"2016/11/4","706.93"
"2016/11/11","718.32"
"2016/11/12","717.15"
"2016/11/13","705.26"
"2016/11/19","756.24"
"2016/11/21","741.72"
"2016/11/22","753.87"
"2016/11/29","737.47"
"2016/12/1","758.27"
"2016/12/2","781.3"
"2016/12/6","765.62"
"2016/12/11","774.8"
"2016/12/12","781.92"
"2016/12/15","781.43"
"2016/12/21","834.28"
"2016/12/22","875.78"
"2016/12/29","979.4"
"2016/12/31","963.74"
"2017/1/1","1003.08"
"2017/1/8","942.72"
"2017/1/10","914.87"
"2017/1/11","919.45"
"2017/1/15","823.31"
"2017/1/20","899.4"
"2017/1/21","927.37"
"2017/1/22","937.52"
"2017/1/25","903.25"
"2017/1/30","923.05"
"2017/1/31","972.02"
"2017/2/1","989.11"
"2017/2/2","1013.52"
"2017/2/9","1088.99"
"2017/2/10","998.9"
"2017/2/13","1002.1"
"2017/2/19","1056.81"
"2017/2/20","1080.49"
"2017/3/1","1222.5"
"2017/3/2","1262.13"
"2017/3/3","1280.31"
"2017/3/11","1193.83"
"2017/3/12","1226.98"
"2017/3/16","1257.98"
"2017/3/20","1063.03"
"2017/3/21","1122.43"
"2017/3/22","1120.65"
"2017/3/25","975.76"
"2017/3/26","1007.96"
"2017/3/31","1074.92"
"2017/4/1","1091.72"
"2017/4/9","1197.21"
"2017/4/10","1190.34"
"2017/4/11","1208.07"
"2017/4/16","1187.22"
"2017/4/20","1240.79"
"2017/4/21","1235.94"
"2017/4/23","1232.2"
"2017/4/30","1347.91"
"2017/5/1","1434.32"
"2017/5/9","1833.49"
"2017/5/10","1788.44"
"2017/5/11","1873.93"
"2017/5/16","1785.94"
"2017/5/20","2084.73"
"2017/5/21","2119.08"
"2017/5/25","2763.71"
"2017/5/30","2301.96"
"2017/5/31","2311.08"
"2017/6/6","2999.91"
"2017/6/9","2901.71"
"2017/6/10","2950.99"
"2017/6/12","2997.26"
"2017/6/15","2534.71"
"2017/6/19","2662.85"
"2017/6/20","2763.45"
"2017/6/21","2772.01"
"2017/6/27","2552.45"
"2017/6/29","2588.83"
"2017/6/30","2559.25"
"2017/7/2","2514.28"
"2017/7/7","2916.14"
"2017/7/9","2635.49"
"2017/7/10","2537.16"
"2017/7/16","2058.77"
"2017/7/19","2397.17"
"2017/7/20","2900.7"
"2017/7/26","2610.76"
"2017/7/29","2808.76"
"2017/7/30","2758.53"
"2017/8/8","3484.85"
"2017/8/9","3422.76"
"2017/8/17","4484.7"
"2017/8/18","4370.13"
"2017/8/19","4243.26"
"2017/8/21","4109.14"
"2017/8/25","4455.7"
"2017/8/28","4403.93"
"2017/8/29","4625.68"
"2017/9/2","4975.04"
"2017/9/5","4427.84"
"2017/9/7","4655.04"
"2017/9/8","4661"
"2017/9/17","3664.81"
"2017/9/18","4079.23"
"2017/9/22","3758.27"
"2017/9/27","4210.05"
"2017/9/28","4279.31"
"2017/9/29","4214.63"
"2017/10/2","4470.23"
"2017/10/7","4443.88"
"2017/10/8","4624.14"
"2017/10/15","5852.48"
"2017/10/17","5800.35"
"2017/10/18","5603.82"
"2017/10/21","6194.88"
"2017/10/27","5988.39"
"2017/10/28","5876.72"
"2017/11/5","7617.48"
"2017/11/6","7445.77"
"2017/11/7","7253.32"
"2017/11/12","6625.05"
"2017/11/16","7967.38"
"2017/11/17","8004.59"
"2017/11/18","7884.99"
"2017/11/26","9522.93"
"2017/11/27","9818.35"
"2017/11/28","10125.7"
"2017/12/6","14369.1"
"2017/12/7","17899.7"
"2017/12/10","15850.6"
"2017/12/16","19716.7"
"2017/12/17","20089"
"2017/12/25","14593"
"2017/12/26","16461.2"
"2017/12/27","16930.9"
"2018/1/1","14112.2"
"2018/1/5","17705.2"
"2018/1/6","17712.4"
"2018/1/12","14229.9"
"2018/1/15","14445.5"
"2018/1/16","13843.1"
"2018/1/23","11377.6"
"2018/1/25","11785.7"
"2018/1/26","11656.7"
"2018/2/1","10288.8"
"2018/2/3","9430.75"
"2018/2/4","9334.87"
"2018/2/5","8364.84"
"2018/2/6","7850.7"
"2018/2/14","9518.54"
"2018/2/15","10234.8"
"2018/2/20","11958.5"
"2018/2/24","10597.2"
"2018/2/25","9923.22"
"2018/2/26","10475"
"2018/3/6","11500.1"
"2018/3/7","10929.5"
"2018/3/8","10147.4"
"2018/3/12","9937.5"
"2018/3/16","8585.15"
"2018/3/17","8346.53"
"2018/3/18","8245.51"
"2018/3/21","9177.37"
"2018/3/26","8530.08"
"2018/3/27","8232.78"
"2018/4/5","6933.82"
"2018/4/6","6857.49"
"2018/4/15","8338.42"
"2018/4/16","8371.15"
"2018/4/22","9001.64"
"2013/4/28","135.98"
"2013/4/29","147.49"
"2013/4/30","146.93"
"2013/5/3","108.13"
"2013/5/9","113.46"
"2013/5/10","122"
"2013/5/15","115.81"
"2013/5/17","125.3"
"2013/5/19","124.5"
"2013/5/20","123.62"
"2013/5/21","123"
"2013/5/26","136"
"2013/5/29","132.59"
"2013/5/30","132.25"
"2013/6/8","111.42"
"2013/6/9","108.99"
"2013/6/12","111.79"
"2013/6/16","101.6"
"2013/6/18","111.11"
"2013/6/19","110.22"
"2013/6/21","114.99"
"2013/6/28","101.74"
"2013/6/29","99.99"
"2013/7/7","74.56"
"2013/7/8","80"
"2013/7/9","78.3"
"2013/7/15","101.9"
"2013/7/17","99.97"
"2013/7/18","98.8"
"2013/7/19","95.2"
"2013/7/26","97.47"
"2013/7/28","100.58"
"2013/7/29","102.5"
"2013/7/31","111.34"
"2013/8/7","106.75"
"2013/8/8","106.75"
"2013/8/10","103.9"
"2013/8/14","115"
"2013/8/17","113.75"
"2013/8/18","114.69"
"2013/8/27","127.24"
"2013/8/28","127.32"
"2013/8/29","123.7"
"2013/9/2","146.5"
"2013/9/6","127.34"
"2013/9/7","125.94"
"2013/9/8","124.72"
"2013/9/11","137.83"
"2013/9/16","132.72"
"2013/9/17","132.76"
"2013/9/20","135.62"
"2013/9/24","127.46"
"2013/9/26","134.93"
"2013/9/27","134.74"
"2013/9/29","140.61"
"2013/10/3","123.63"
"2013/10/6","129.66"
"2013/10/7","130.27"
"2013/10/8","127.47"
"2013/10/16","152.23"
"2013/10/17","147.42"
"2013/10/24","217.42"
"2013/10/26","188.41"
"2013/10/27","196.44"
"2013/11/5","250.66"
"2013/11/6","263"
"2013/11/15","437.89"
"2013/11/16","450.26"
"2013/11/23","844.97"
"2013/11/25","810.68"
"2013/11/26","928.54"
"2013/11/27","1001.96"
"2013/12/5","1154.36"
"2013/12/6","1042.38"
"2013/12/10","997.23"
"2013/12/11","1001.58"
"2013/12/15","886.16"
